City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
317,margate,51.3813,1.3862,57.87,84,100,13.47,GB,1682674334
318,uturoa,-16.7333,-151.4333,82.4,75,31,11.21,PF,1682674021
319,south hedland,-20.4089,118.5983,89.53,25,40,11.5,AU,1682674336
320,buncrana,55.1333,-7.45,55.17,84,96,2.82,IE,1682674336
321,novyye lapsary,56.0685,47.2142,69.51,43,40,8.95,RU,1682674337
322,fortuna,40.5982,-124.1573,52.14,94,6,2.57,US,1682674050
323,parabel',58.6978,81.4825,60.44,66,34,17.58,RU,1682674338
324,jamestown,42.097,-79.2353,53.19,84,0,10.36,US,1682673872
325,aldan,58.6031,125.3894,33.33,87,100,1.83,RU,1682674339
326,dongola,19.1667,30.4833,98.71,7,7,14.67,SD,1682674340
327,al muwayh,22.4333,41.7583,87.58,27,3,9.55,SA,1682674341
328,manaure,11.7751,-72.4445,81.05,73,42,7.63,CO,1682674342
329,kayes,14.0,-11.0,99.5,7,3,6.93,ML,1682674342
330,cold lake,54.4502,-110.2017,42.75,65,100,4.61,CA,1682674144
331,undurkhaan,47.3194,110.6556,42.53,41,100,11.43,MN,1682674145
332,vilyuysk,63.7553,121.6247,35.58,95,54,6.46,RU,1682674344
333,mokena,41.5261,-87.8892,49.59,75,0,6.91,US,1682674345
334,puerto el triunfo,13.2833,-88.55,78.62,81,99,3.51,SV,1682674345
335,puerto ayacucho,5.6639,-67.6236,73.74,96,100,5.39,VE,1682674346
336,mitu,1.1983,-70.1733,70.43,99,70,0.43,CO,1682674154
337,riviere-du-loup,47.8304,-69.5342,40.08,81,17,4.61,CA,1682674347
338,arraial do cabo,-22.9661,-42.0278,73.26,94,100,9.22,BR,1682674246
339,strathmore,51.0501,-113.3852,44.35,56,48,8.05,CA,1682674200
340,bosaso,11.2842,49.1816,96.78,46,0,13.8,SO,1682674349
341,klyuchi,52.2667,79.1667,79.12,21,100,14.38,RU,1682674116
342,sullivan,36.5168,-82.5332,57.11,90,100,1.01,US,1682674350
343,oban,56.4127,-5.4706,51.39,93,100,3.44,GB,1682674350
344,axim,4.8699,-2.2405,79.92,73,100,3.27,GH,1682673996
345,lilongwe,-13.9669,33.7873,71.8,68,20,8.05,MW,1682674351
346,cidade velha,14.9167,-23.6167,73.87,68,20,21.85,CV,1682674352
347,akjoujt,19.6969,-14.4164,93.74,18,0,13.85,MR,1682674353
348,dwarka,22.2394,68.9678,84.65,59,1,12.5,IN,1682674353
349,moose jaw,50.4001,-105.5344,30.45,93,78,5.75,CA,1682674355
350,manuguru,17.981,80.7547,100.27,26,7,3.27,IN,1682674356
351,khvoynaya,58.9,34.5333,39.78,96,100,9.55,RU,1682674357
352,carnarvon,-24.8667,113.6333,80.89,41,65,19.95,AU,1682674173
353,salym,60.0625,71.4789,37.87,63,93,16.42,RU,1682674358
354,walvis bay,-22.9575,14.5053,61.09,51,1,7.43,NA,1682674053
355,kourou,5.1552,-52.6478,71.65,91,97,6.51,GF,1682674128
356,bikenibeu village,1.3673,173.1241,84.16,84,20,8.05,KI,1682674360
357,cockburn town,21.4612,-71.1419,77.85,74,77,10.67,TC,1682674360
358,cabo san lucas,22.8909,-109.9124,67.6,75,2,12.62,MX,1682674083
359,xingcheng,40.6167,120.7167,51.6,83,86,6.64,CN,1682674362
360,zhuangyuan,37.2975,120.8256,60.85,70,100,3.6,CN,1682674362
361,zaruma,-3.6833,-79.6167,60.42,89,91,4.29,EC,1682674363
